w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,m,m,m,m,,,w,,,,,,,,,,,,,,,,f,f,f,f,f,f,f,f,f,w
w,m,m,m,m,,,w,,,,,,,,,,,,,,,,f,f,f,f,f,f,f,f,f,w
w,m,m,m,m,,,w,,,,,,,,,,,,,,,,f,f,f,f,f,f,f,f,f,w
w,,,,,,,w,,,,,,,,,,,,,,,,f,f,f,f,f,f,f,f,f,w
w,,,,,,,,,,,,,,,,,,,,,,,f,f,f,f,f,f,f,f,f,w
w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,e,e,e,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,e,e,e,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w
w,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,s,s,s,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,s,s,w
w,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,s,s,s,w
w,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,w,w,h1,w,w,h2,w,w,h3,w,w,w,h4,w,w,w,h5,w,w,w,r,w,w,w,w
w,,,,,,,,w,h1,h1,w,h2,h2,w,h3,h3,h3,w,h4,h4,h4,w,h5,h5,h5,w,r,r,r,w,r,w
w,,,,,,,,w,h1,h1,w,h2,h2,w,h3,h3,h3,w,h4,h4,h4,w,h5,h5,h5,w,r,r,r,w,r,w
w,,,,,,,,w,h1,h1,w,h2,h2,w,h3,h3,h3,w,h4,h4,h4,w,h5,h5,h5,w,r,r,r,w,r,w
w,,,,,,,,w,b,h1,w,b,h2,w,b,h3,h3,w,b,h4,h4,w,b,h5,h5,w,r,r,r,r,r,w
w,,,,,,,,w,w,h1,w,h2,w,w,w,h3,w,w,w,h4,w,w,w,h5,w,w,w,r,r,w,w,w
w,,,,,,,,w,h1,h1,w,h2,h2,w,h3,h3,h3,w,h4,h4,h4,w,h5,h5,h5,w,r,r,r,r,r,w
w,,,,,,,,w,t,h1,w,t,h2,w,t,h3,h3,w,t,h4,h4,w,t,h5,h5,w,r,o,r,r,r,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
